Mover,Segment,U_Start,U_End,Ax,Bx,Cx,Dx,Ay,By,Cy,Dy,Length_mm,NumRawPoints
1,1,0.0,0.12625250501002,605.61,3292.558017941501,-1.080478498735959,5.443946379085516,965.65,129.48827932464198,-1.5341254091830132,7.729647058336841,416.0084295784065,49.0
1,2,0.12625250501002,0.188376753507014,605.6776364733113,3290.950846504244,11.649339710642352,-28.165467835093207,965.7460372712096,127.20625083256286,16.540989155062643,-39.99248081234349,204.7018663310417,24.0
1,3,0.188376753507014,0.220440881763527,602.6080627147273,3339.835441361699,-247.8550521390379,431.0284737712559,961.386607063691,196.63249573315423,-352.0089704768,612.157979670988,105.65764708718004,12.0
1,4,0.220440881763527,0.2364729458917835,705.752208512579,1936.137384458204,6119.829769632272,-9197.682817331422,1108.0507098583278,-1799.3326122993112,8702.414565052295,-13079.2279119321,52.81161498060649,6.0
1,5,0.2364729458917835,0.2444889779559118,-1913.196140888792,35161.270257795935,-134383.06263541456,188855.82935814423,-2642.7200128976638,45784.59765859662,-192521.1549703466,270566.42519022623,26.446287605813804,4.0
1,6,0.2444889779559118,0.2484969939879759,21468.761594835065,-251746.8504830124,1039118.185312646,-1411081.664428966,34113.28830297894,-405229.70110261056,1652201.2637332797,-2244505.9434794723,13.28617534712894,1.0
1,7,0.2484969939879759,0.250501002004008,1357606.165554396,-16382373.412801262,65951881.52883528,-88484922.81608972,1751804.506432129,-21142195.455452114,85101765.06551072,-114183571.3657562,5.950047897650707,1.0
1,8,0.250501002004008,0.2545090180360721,-919064.2725250116,10883031.753637724,-42891615.895589165,56349491.0900111,-1165793.229088709,13798955.025145449,-54383307.65303476,71424565.39838833,13.059675331142724,1.0
1,9,0.2545090180360721,0.2585170340681362,297890.6559243224,-3461704.686430408,13470773.739009256,-17468966.725381594,259895.5307630134,-3006210.907909894,11646438.808340175,-15055338.759685418,13.2753432713632,2.0
1,10,0.2585170340681362,0.2665330661322645,-62169.887325464944,716672.3154682865,-2692095.438877943,3371528.67452981,-23245.734718570675,279544.7077950005,-1063577.1004717809,1333028.0064571332,26.234878324821903,3.0
1,11,0.2665330661322645,0.282565130260521,3284.456546390981,-20058.1565329791,72028.66284109143,-85358.35995088708,2992.029819967726,-15778.100582382856,44438.54900426655,-52685.8007823347,52.89806337188817,6.0
1,12,0.282565130260521,0.314629258517034,1270.623003042146,1322.757044277681,-3638.541946505299,3903.898179162022,1743.0265106497636,-2517.4058728155505,-2491.143620372365,2675.7042287641625,105.63515663010892,13.0
1,13,0.314629258517034,0.376753507014028,1403.1942930567322,58.68557197299416,379.1119686541829,-352.5971577054551,1834.98179189174,-3394.2024079699395,295.6173416788449,-276.7240516255489,204.70009780403325,23.0
1,14,0.376753507014028,0.438877755511022,1371.4255138773697,311.6529253320678,-292.32797457016704,241.4605225586417,1806.0333357112145,-3163.692626575006,-316.2144717045135,264.5952300735572,204.70226550018367,24.0
1,15,0.438877755511022,0.4549098196392785,1680.3411588596484,-1799.9759355741949,4519.100343202551,-3412.881533101307,2700.143146416478,-9275.484346327426,13609.740177411732,-10312.347494293272,52.845108140517,8.0
1,16,0.4549098196392785,0.4629258517034068,-2054.1959971891583,22828.227247708022,-49619.548945157934,36256.995111380165,-24226.714989225824,168299.43472440616,-376742.1744318221,275716.44162466074,26.348776601987684,4.0
1,17,0.4629258517034068,0.4649298597194388,-13403364.965605948,86870283.73419279,-187655161.96438065,135123076.1369618,-24921209.616288263,161513682.13275325,-348910707.3965808,251240288.80216196,5.0132173972835234,1.0
